epoch,phase,train_loss,train_acc,val_loss,val_acc,val_f1_macro,val_f1_weighted,lr,time_sec
1,1,1.118117,0.366453,1.073980,0.397083,0.304390,0.462326,1.00e-03,119.5
2,1,1.113620,0.380337,1.143974,0.330000,0.272789,0.396443,9.99e-04,121.5
3,2,0.767180,0.587350,0.642889,0.612417,0.644368,0.650096,1.00e-04,182.8
4,2,0.593780,0.672073,0.648786,0.613917,0.624984,0.648031,9.99e-05,183.8
5,2,0.560489,0.688459,0.644212,0.616417,0.670785,0.654162,9.96e-05,183.3
6,2,0.539294,0.698049,0.811709,0.620333,0.663253,0.656199,9.90e-05,180.4
7,2,0.526259,0.704094,0.708902,0.633750,0.628583,0.664471,9.83e-05,175.8
8,2,0.506739,0.715977,0.610960,0.625042,0.649786,0.657203,9.74e-05,176.0
9,2,0.499797,0.724233,0.458266,0.714083,0.743590,0.746451,9.62e-05,175.5
10,2,0.482969,0.731321,0.484999,0.680042,0.706600,0.713436,9.49e-05,178.9
11,2,0.485568,0.732864,0.584411,0.751792,0.735247,0.776676,9.34e-05,171.2
12,2,0.471810,0.733781,0.347472,0.770458,0.737224,0.790608,9.17e-05,170.5
13,2,0.466955,0.741161,0.384584,0.760458,0.750709,0.784498,8.98e-05,178.3
14,2,0.463173,0.744621,0.506302,0.724833,0.728988,0.752445,8.77e-05,177.7
15,2,0.454149,0.748124,0.462108,0.804042,0.665676,0.775796,8.55e-05,177.6
16,2,0.453072,0.747540,1.999388,0.802292,0.581509,0.739412,8.31e-05,177.6
17,2,0.438556,0.749041,0.455591,0.756708,0.757577,0.782608,8.06e-05,176.6
18,2,0.438276,0.749833,0.475461,0.753792,0.742624,0.778856,7.80e-05,177.3
19,2,0.431738,0.748958,0.615915,0.793125,0.612652,0.755002,7.53e-05,176.6
20,2,0.426440,0.753002,0.365434,0.792708,0.739392,0.798099,7.24e-05,176.6
21,2,0.429397,0.752752,0.478292,0.731667,0.720990,0.758564,6.94e-05,177.2
22,2,0.424257,0.753210,0.513868,0.752167,0.736995,0.777318,6.64e-05,177.3
23,2,0.422853,0.754670,1.186013,0.808958,0.667393,0.772767,6.33e-05,177.0
24,2,0.411734,0.756338,0.372564,0.768500,0.774800,0.793698,6.02e-05,177.4
25,2,0.406456,0.757005,0.420783,0.764833,0.753325,0.789063,5.70e-05,177.7
26,2,0.403858,0.756755,0.481537,0.765792,0.759153,0.790117,5.37e-05,177.8
27,2,0.402600,0.758464,0.434835,0.765542,0.753982,0.789540,5.05e-05,177.7
28,2,0.400349,0.758923,0.393708,0.770708,0.778863,0.795930,4.73e-05,177.6
29,2,0.397306,0.759965,0.835963,0.806792,0.692833,0.783710,4.40e-05,177.2
30,2,0.392833,0.761424,0.502481,0.756500,0.743559,0.781305,4.08e-05,190.0
31,2,0.389812,0.762425,0.412951,0.770625,0.772416,0.795119,3.77e-05,185.6
32,2,0.386620,0.762717,0.429774,0.772000,0.778348,0.796806,3.46e-05,180.4
33,2,0.381762,0.764134,0.437735,0.766333,0.767868,0.791343,3.16e-05,179.9
34,2,0.378989,0.763926,0.579776,0.760542,0.743013,0.784592,2.86e-05,189.6
35,2,0.379321,0.764593,0.535652,0.762042,0.748377,0.786236,2.58e-05,202.1
36,2,0.371520,0.765802,0.467317,0.764875,0.755834,0.789208,2.30e-05,202.4
37,2,0.368835,0.765635,0.545054,0.765125,0.752545,0.789126,2.04e-05,201.5
38,2,0.366063,0.766428,0.490550,0.766583,0.757797,0.790678,1.79e-05,205.7
